Modern name,Designation,Address,Constellation,Right ascension,Declination,Apparent magnitude (V),Spectral type,Apparent magnitude (R),Apparent magnitude (J),Apparent magnitude (H),Apparent magnitude (K),Proper motion (μ),Parallax (π),Distance,Absolute magnitude (MV),Mass,Radius,Luminosity,Surface gravity (log g),Temperature,Metallicity [Fe/H],Age,SIMBAD,U−B color index,B−V color index,Variable type,Radial velocity (Rv),Rotational velocity (v sin i),Pronunciation,Period (P),Semi-major axis (a),Eccentricity (e),Inclination (i),Longitude of the node (Ω),Periastron epoch (T),Argument of periastron (ω)(secondary),Companion,Primary,Semi-amplitude (K1)(primary),R−I color index,Metallicity,Evolutionary stage,Luminosity (bolometric),Exoplanet Archive,V−R color index,Component,Epoch of observation,Angular distance,Position angle,Rotation,ARICNS,Extrasolar PlanetsEncyclopaedia,U−B colour index,B−V colour index,Argument of periastron (ω)(primary),Semi-amplitude (K2)(secondary),Absolute bolometricmagnitude (Mbol),Apparent magnitude (B),Note (category: variability):,Apparent magnitude (G),Apparent magnitude (U),Apparent magnitude (I),"Luminosity (visual, LV)",Discovered by,Discovery date,Detection method,Alternative names,Semi-major axis,Eccentricity,Orbital period (sidereal),Inclination,Star,Mean radius,Surface gravity,J−H color index,J−K color index,Discovery site,Mean density,Observed separation(projected),Equatorial [ g ]
Algieba,γ1 Leonis,https://en.wikipedia.org/wiki/Algieba,Leo,10h 19m 58.35056s,+19° 50′ 29.3468″,2.08 (2.37/3.64),K1 III + G7 IIIb,,,,,RA: +304.30 mas/yr Dec.: −154.28 mas/yr,25.07 ± 0.52 mas,130 ± 3 ly (39.9 ± 0.8 pc),−0.27/+0.98,1.23 M☉,10 R☉,40 L☉,2.98 cgs,"4,980 K",−0.52 ± 0.11 dex,,data,1.00,1.14,Suspected,−36.24 ± 0.18 km/s,,,510.3 yr,4.24″,0.845,76.0°,143.4°,1671.3,,,,,,,,,data,,,,,,,,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algol,β Persei Aa1,https://en.wikipedia.org/wiki/Algol,Perseus,03h 08m 10.13245s,+40° 57′ 20.3280″,2.12 (- 3.39),Aa1: B8VAa2: K0IVAb: F1V (kA4hA9.5mF0:),,,,,RA: 2.99 mas/yr Dec.: −1.66 mas/yr,36.27 ± 1.40 mas,90 ± 3 ly (28 ± 1 pc),2.3,1.76±0.15 M☉,1.73±0.33 R☉,10.0 L☉,4.5 cgs,"7,500 K",,570 Myr,data,,,EA/SD,3.7 km/s,49 km/s,,680.168 days,0.09343″,0.227,83.66°,132.66°,2446927.22,,β Per B,β Per A,,,,,,,,,,,,,,,−0.37,−0.05,310.02°,,,,,,,,,,,,,,,,,,,,,,,,,
Algorab,δ Corvi A,https://en.wikipedia.org/wiki/Algorab,Corvus,12h 29m 51.85517s,−16° 30′ 55.5525″,+2.962,A0 IV(n) kB9,,,,,RA: −210.49 mas/yr Dec.: −138.74 mas/yr,37.55 ± 0.16 mas,86.9 ± 0.4 ly (26.6 ± 0.1 pc),+0.2,2.74+0.07−0.06 M☉,,69.0+9.7−8.9 L☉,4.06±0.05 cgs,"10,400 K",,260+14−24×106 or 3.2+0.1−0.1×106 years,data,−0.050,−0.045,,+9 km/s,236 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alhena,γ Geminorum Aa,https://en.wikipedia.org/wiki/Alhena,Gemini,06h 37m 42.71050s,+16° 23′ 57.4095″,1.915,A1IV + G,,,,,RA: +13.81 mas/yr Dec.: −54.96 mas/yr,29.84 ± 2.23 mas,109 ± 8 ly (34 ± 3 pc),−0.68,1.07 M☉,3.3 R☉,123 L☉,3.60 cgs,"9,260 K",–0.12 dex,,data,+0.137,+0.005,,−12.5 km/s,10.7±0.2 km/s,,"4,614.51 days",,0.8933 ± 0.0013,,,244399.13 ± 0.77,312.60 ± 0.60°,,,11.881 ± 0.068 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alioth,ε Ursae Majoris A,https://en.wikipedia.org/wiki/Alioth,Ursa Major,12h 54m 01.74959s,+55° 57′ 35.3627″,1.77,A1III-IVp kB9,,,,,RA: +111.91 mas/yr Dec.: −8.24 mas/yr,39.51 ± 0.20 mas,82.6 ± 0.4 ly (25.3 ± 0.1 pc),−0.2,2.91 M☉,4.14 R☉,102 L☉,3.23 cgs,"9,020 K",+0.00 dex,300 Myr,data,+0.02,−0.02,α2 CVn,−9.3 km/s,33 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aljanah,ε Cygni Aa,https://en.wikipedia.org/wiki/Aljanah,Cygnus,20h 46m 12.68236s,+33° 58′ 12.9250″,2.480,K0 III,,,,,RA: 355.66 mas/yr Dec.: 330.60 mas/yr,44.86 ± 0.12 mas,72.7 ± 0.2 ly (22.29 ± 0.06 pc),+0.74 ± 0.02,~2 M☉,10.82 ± 0.14 R☉,62 ± 3 L☉,2.8 cgs,"4,710 K",–0.27 dex,~1.5 Gyr,data,+0.860,+1.030,,–12.41 km/s,2.3 ± 0.2 km/s,,55.1 yr,,0.9,,,B2016.00,,ε Cyg Ab,ε Cyg Aa,4.0 km/s,,,,,,,,,,,0.67 years,,,,,300°,,,,,,,,,,,,,,,,,,,,,,,,,
Alkaid,η Ursae Majoris,https://en.wikipedia.org/wiki/Alkaid,Ursa Major,13h 47m 32.43776s,+49° 18′ 47.7602″,+1.86,B3 V,,,,,RA: −121.17 mas/yr Dec.: −14.91 mas/yr,31.38 ± 0.24 mas,103.9 ± 0.8 ly (31.9 ± 0.2 pc),−0.67,6.1±0.1 M☉,3.4 R☉,594±31 L☉,3.78 cgs,"15,540±1,157 K",,10.0±2.6 Myr,data,−0.68,−0.19,,−10.9 km/s,150 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alkalurops,μ1 Boötis Aa,https://en.wikipedia.org/wiki/Alkalurops,Boötes,15h 24m 30.89704s,+37° 20′ 52.555″,7.63,F9V + G0V,,,,,RA: −152.149 mas/yr Dec.: +89.593 mas/yr,27.2126 ± 0.0181 mas,119.85 ± 0.08 ly (36.75 ± 0.02 pc),1.47,1.05 M☉,1.09 R☉,1.06 L☉,4.4 cgs,"5,900 K",,11.3 Gyr,μ1 Boo,+0.13,+0.59,,−8.60±0.3 km/s,9 km/s,,265 yr,1.46″,0.585,135.5°,174°,1864.9,338°,C,B,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alkaphrah,κ Ursae Majoris A,https://en.wikipedia.org/wiki/Alkaphrah,Ursa Major,09h 03m 37.52762s,+47° 09′ 23.4890″,3.56 (4.16 + 4.54),A0 IV-V + A0 V,,,,,RA: −36.19 mas/yr Dec.: −55.40 mas/yr,9.10 ± 0.50 mas,360 ± 20 ly (110 ± 6 pc),−1.63,3.79±0.12 M☉,7.87 R☉,,,"9,060 K",,,data,,,,,201 km/s,,"13,007.2±9.7 d",0.18194 ± 0.00025″,0.5584±0.0015,109.410±0.066°,105.641±0.080°,50404 ± 12,355.63±0.36°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alkarab,υ Pegasi,https://en.wikipedia.org/wiki/Alkarab,Pegasus,23h 25m 22.78350s,+23° 24′ 14.7606″,4.40,F8III,,,,,RA: +192.19 mas/yr Dec.: +36.12 mas/yr,19.14 ± 0.18 mas,170 ± 2 ly (52.2 ± 0.5 pc),0.83,2.17 M☉,5.97+0.36−0.19 R☉,43.2±0.8 L☉,3.22 cgs,"6,061+97−176 K",−0.01 dex,,data,+0.14,+0.61,,−8.59 km/s,73.4 km/s,,,,,,,,,,,,,,Hertzsprung gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alkes,α Crateris,https://en.wikipedia.org/wiki/Alkes,Crater,10h 59m 46.46486s,−18° 17′ 55.6172″,4.07,K1 III,,,,,RA: −462.26 ± 0.24 mas/yr Dec.: 129.49 ± 0.26 mas/yr,23.1349 ± 0.3685 mas,141 ± 2 ly (43.2 ± 0.7 pc),+0.44,1.81 M☉,12.32 R☉,66.0 L☉,2.53 cgs,4.691 K,+0.01 dex,2.06 Gyr,data,,,,47.54 ± 0.16 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almaaz,ε Aurigae,https://en.wikipedia.org/wiki/Almaaz,Auriga,05h 01m 58.129s,+43° 49′ 23.87″,2.92 - 3.83,F0 Iab (or II-III) + ~B5V,,,,,RA: −0.86±1.38 mas/yr Dec.: −2.66±0.75 mas/yr,0.9879 ± 0.1792 mas,"approx. 3,300 ly (approx. 1,000 pc)",-9.1,6 - 14 M☉,3.9±0.4 R☉,,4.0 cgs,"15,000 K",,,data,+0.30,+0.54,Algol,−10.40 km/s,54 km/s,,9896.0±1.6 d,18.1+1.2−1.3 AU,0.227±0.011,89°,264°,MJD 34723±80,39.2±3.4°,,,13.84±0.23 km/s,,,,"37,875 L☉",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almach,γ Andromedae A,https://en.wikipedia.org/wiki/Almach,Andromeda,02h 03m 54.720s (B),+42° 19′ 51.41″ (B),4.84 (BC combined) 5.5 (B) 6.3 (C),B9.5V/B9.5V (B) A0V (C),,,,,RA: 30.021 mas/yr Dec.: −51.640 mas/yr,12.5653 ± 0.5881 mas,260 ± 10 ly (80 ± 4 pc),,23.7±0.1 M☉,80 R☉,"2,000 L☉",2.0 cgs,"4,250 K",−0.06 dex,6.5±0.1 Myr,data,−0.12,+0.03,,−14.0±5 km/s,< 17 km/s,,63.67±1.0 yr,0.302±0.001″,0.927±0.03,109.8±5.0°,109.6±5.0°,2015.5±1.5 MJD,183.4±15.0°,γ2 Andromedae,γ2 And B,,+0.68,,post-AGB,,,,,2004,9.6″,63°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Minliar al Asad†,κ Leonis,https://en.wikipedia.org/wiki/%CE%9A_Leonis,Leo,09h 24m 39.25874s,+26° 10′ 56.3650″,4.460,K2 III,,,,,RA: –31.64 mas/yr Dec.: –48.20 mas/yr,16.20 ± 0.21 mas,201 ± 3 ly (61.7 ± 0.8 pc),0.66±0.028,1.44 M☉,17 R☉,89 L☉,2.34 cgs,"4,403±24 K",+0.01 dex,4.33 Gyr,data,+1.31,+1.23,,+27.94 km/s,10 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnair,α Gruis,https://en.wikipedia.org/wiki/Alnair,Grus,22h 08m 13.98473s,−46° 57′ 39.5078″,+1.74,B6 V,,,,,RA: +126.69 mas/yr Dec.: −147.47 mas/yr,32.29 ± 0.21 mas,101.0 ± 0.7 ly (31.0 ± 0.2 pc),−0.72,4.0 M☉,3.4 R☉,520 L☉,3.76±0.11 cgs,"13,920 K",−0.13±0.02 dex,100 Myr,data,−0.47,−0.13,,+11.8 km/s,215 km/s,/ælˈnɛər/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnasl,γ2 Sagittarii,https://en.wikipedia.org/wiki/Alnasl,Sagittarius,18h 05m 48.48810s,–30° 25′ 26.7235″,+2.98,K1 III,,,,,RA: –53.92 mas/yr Dec.: -180.90 mas/yr,33.67 ± 0.18 mas,96.9 ± 0.5 ly (29.7 ± 0.2 pc),+0.62,,12 R☉,68 L☉,2.72 cgs,"4,760 K",–0.36 dex,,data,+0.77,+1.01,,22.0 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnilam,ε Orionis,https://en.wikipedia.org/wiki/Alnilam,Orion,05h 36m 12.8s,−01° 12′ 06.9″,1.69 (1.64 – 1.74),B0 Ia,,,,,RA: 1.49 mas/yr Dec.: −1.06 mas/yr,1.65 ± 0.45 mas,"approx. 2,000 ly (approx. 600 pc)",−6.89,64.5 M☉,42.0 R☉,"832,000 L☉",3.0 cgs,"27,000±500 K",,5.7 Myr,data,−1.03,−0.18,α Cygni,25.9 km/s,40–70 km/s,/ælˈnaɪlæm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnitak,ζ Orionis Aa,https://en.wikipedia.org/wiki/Alnitak,Orion,05h 40m 45.52666s,−01° 56′ 34.2649″,1.77 (2.08 + 4.28 + 4.01),O9.5Iab + B1IV + B0III,,,,,RA: 3.19 mas/yr Dec.: 2.03 mas/yr,4.43 ± 0.64 mas,"1,260 ± 180 ly (387 ± 54 pc)",−6.0 / −3.9 / −4.1,14±3 M☉,7.3±1.0 R☉,"32,000 L☉",3.2±0.1 cgs,"29,000 K",,~7 Myr,AB,−1.06,−0.11 (A)−0.20 (B),,18.50 km/s,350 km/s,"/ælˈnaɪtæk/,","1,508.6 yr",2.728″,0.07,72.0°,155.5°,"2,070.6",47.3°,B,A,10.1 km/s,,,,,,,,,,,6.67 days,,,,,,19.6 km/s,,,,,,,,,,,,,,,,,,,,,,,,
Alniyat,σ Scorpii Aa1,https://en.wikipedia.org/wiki/Alniyat,Scorpius,16h 21m 11.31571s,−25° 35′ 34.0515″,+2.88,B1 III + B1 V,,,,,RA: −10.60 mas/yr Dec.: −16.28 mas/yr,,568+75−59 ly (174+23−18 pc),−4.12±0.34 / −3.32±0.34,11.9±3.1 M☉,11 R☉,16000±4000 L☉,3.85 cgs,"26,150±1,070, 27,700 K",−0.20±0.20 dex,"8.0±0.2, 8-10 Myr",data,−0.70,+0.13,,−0.4 km/s,25 km/s,,33.010±0.002 days,3.62±0.06 mas,0.3220±0.0012,158.2±2.3°,104±5°,34889.0±1.0 MJD,283±5°,σ Sco Aa2,σ Sco Aa1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphard,α Hydrae,https://en.wikipedia.org/wiki/Alphard,Hydra,09h 27m 35.2433s,−08° 39′ 30.969″,+2.00,K3 II-III,,,,,RA: −14.49 mas/yr Dec.: 33.25 mas/yr,18.40 ± 0.78 mas,177 ± 8 ly (54 ± 2 pc),−1.69 ± 0.09,3.03 ± 0.36 M☉,50.5 ± 4.0 R☉,780 ± 78 L☉,1.54 cgs,"4,120 K",−0.06 dex,(4.2 ± 1.6) × 108 years,data,+1.73,+1.44,,−4.3 km/s,1.1 km/s,,,,,,,,,,,,,,,,,,,,,,"2,991 days",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphecca,α Coronae Borealis,https://en.wikipedia.org/wiki/Alphecca,Corona Borealis,15h 34m 41.268s,+26° 42′ 52.89″,2.24,A0V + G5V,,,,,RA: 120.27 mas/yr Dec.: −89.58 mas/yr,43.46 ± 0.28 mas,75.0 ± 0.5 ly (23.0 ± 0.1 pc),+0.16/+5.05,0.92 M☉,0.90 R☉,0.81 L☉,4.50 cgs,"5,800 K",,0.314 Gyr,data,−0.03,−0.02,Eclipsing binary,+1.7 km/s,< 14 km/s,,17.3599 d,0.2 AU(2.981 × 1012 cm),0.370,88.2 ± 0.1°,,,,,,,,,,,,,,,,,,,,,,311°,,,,,,,,,,,,,,,,,,,,,,,,,
Alpheratz,α Andromedae Aa,https://en.wikipedia.org/wiki/Alpheratz,Andromeda,00h 08m 16.626s,+29° 05′ 45.49″,10.8,G5,,,,,RA: −3.9 mas/yr Dec.: −24.0 mas/yr,2.3990 ± 0.0369 mas,"1,360 ± 20 ly (417 ± 6 pc)",2.00 ± 0.30,1.85 ± 0.13 M☉,1.65 ± 0.3 R☉,,4.0 cgs,"8,500 K",,70 Myr,data,−0.46,1.0,,−10.6 ± 0.3 km/s,110 ± 5 km/s,,96.7015 ± 0.0044 days,24.0 ± 0.13 mas,0.535 ± 0.0046,105.6 ± 0.23°,284.4 ± 0.21°,MJD 47374.563 ± 0.095,257.4 ± 0.31°,,,,−0.10,= 0.2,,13 L☉,,,,2000,89.3″,284°,2.38195 d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpherg,η Piscium A,https://en.wikipedia.org/wiki/Alpherg,Pisces,01h 31m 29.01026s,+15° 20′ 44.9685″,+3.611 (3.83 + 7.51),G7 IIIa,,,,,RA: +27.14 mas/yr Dec.: −2.64 mas/yr,9.33 ± 0.72 mas,350 ± 30 ly (107 ± 8 pc),−1.52,3.78±0.16 M☉,26.48±2.15 R☉,457 L☉,2.20±0.14 cgs,"4,937±40 K",−0.13±0.06 dex,220±30 Myr,data,+0.730,+0.976,γ Cas,13.60±0.42 km/s,8.4 km/s,,850.5±66.5 yr,1.228±0.144″,0.469±0.053,58.5±2.5°,32.8±2.0°,2040.3±66.9,86.9±4.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alrakis,μ Draconis A,https://en.wikipedia.org/wiki/Alrakis,Draco,17h 05m 20.12403s,+54° 28′ 12.0994″,4.92(5.66 / 5.69),F7V,,,,,RA: −58.16 mas/yr Dec.: 67.87 mas/yr,36.45 ± 0.46 mas,89 ± 1 ly (27.4 ± 0.3 pc),+2.73,1.30 M☉,,,,,−0.01 dex,2.2 Gyr,μ Dra,−0.01,+0.47,,−17.30 ± 0.5 km/s,,,812.0 ± 70.5 yr,4.48 ± 0.03″,0.5139 ± 0.029,142.2 ± 1.3°,282.85 ± 0.80°,1946.19 ± 0.72,193.31 ± 0.083°,μ Dra B,μ Dra A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alrescha,α Piscium A,https://en.wikipedia.org/wiki/Alrescha,Pisces,02h 02m 02.81972s,+02° 45′ 49.5410″,3.82 (4.33 + 5.23),kA0hA7 Sr + kA2hF2mF2 (IV),,,,,RA: +32.45 mas/yr Dec.: +0.04 mas/yr,21.66 ± 1.06 mas,151 ± 7 ly (46 ± 2 pc),+0.50,2.64+0.21−0.28 M☉,2.66±0.45 R☉,63+13−11 L☉,4.01±0.14 cgs,"10,000±710 K",,331+159−153 Myr,α Psc,,,α2 CVn,,84 km/s,,3267.4 yr,7.4″,0.465,113.4°,3.70°,2188.6,147.9°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alruba,HD 161693,https://en.wikipedia.org/wiki/Alruba,Draco,17h 43m 59.17049s,+54° 48′ 06.1637″,5.76,A0V,,,,,RA: 17.450 mas/yr Dec.: −18.125 mas/yr,7.1436 ± 0.0605 mas,457 ± 4 ly (140 ± 1 pc),,2.97±0.07 M☉,,146.7+29.6−24.7 L☉,3.80±0.10 cgs,"9,226+107−106 K",−0.40±0.11 dex,58 Myr,data,,,,−2.0 km/s,170 km/s,/ælˈruːbə/,,,,,,,,,,,,,Main sequence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alsafi,σ Draconis,https://en.wikipedia.org/wiki/Alsafi,Draco,19h 32m 21.59021s,+69° 39′ 40.2358″,4.674,K0 V,,,,,RA: 597.384 mas/yr Dec.: −1738.286 mas/yr,173.4939 ± 0.0748 mas,18.799 ± 0.008 ly (5.764 ± 0.002 pc),5.89,0.85+0.01−0.03 M☉,0.776±0.008 R☉,0.410±0.006 L☉,4.59±0.02 cgs,"5,255±31 K",−0.20±0.04 dex,3.00±0.60 Gyr,data,+0.386,+0.791,None,26.55±0.13 km/s,1.4 km/s,,,,,,,,,,,,,,Main sequence,,,,,,,,,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alsciaukat,31 Lyncis,https://en.wikipedia.org/wiki/Alsciaukat,Lynx,08h 22m 50.11000s,+43° 11′ 17.2724″,+4.25,K4+ III,,,,,RA: −25.16±0.36 mas/yr Dec.: −99.23±0.21 mas/yr,8.53 ± 0.25 mas,380 ± 10 ly (117 ± 3 pc),−1.09,1.95±0.18 M☉,53.27+1.64−1.55 R☉,782.4±60.3 L☉,1.46±0.12 cgs,"3,921±19 K",−0.06±0.05 dex,1.32±0.23 Gyr,data,,1.550±0.003,SRd,+24.56±0.22 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alsephina,δ Velorum Aa,https://en.wikipedia.org/wiki/Alsephina,Vela,08h 44m 42.203s,−54° 42′ 30.60″,5.54,F7.5V,,,,,RA: +28.99 mas/yr Dec.: −103.35 mas/yr,40.49 ± 0.39 mas,80.6 ± 0.8 ly (24.7 ± 0.2 pc),0.02/3.60,1.35–1.46 M☉,1.43 R☉,3.5 L☉,3.99–4.10 cgs,"6,600 K",−0.33 dex,400 million years,data,+0.07,+0.04,Algol,+2.2 km/s,149.6 km/s,,45.1503 days,0.01651″,0.287,89.04°,,,,δ Vel Ab,δ Vel Aa,,,,,,,,,,,,1.05 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alshain,β Aquilae A,https://en.wikipedia.org/wiki/Alshain,Aquila,19h 55m 18.79256s,+06° 24′ 24.3425″,3.87 + 12.0,G9.5 IV + M2.5 V,,,,,RA: 45.27 mas/yr Dec.: −481.91 mas/yr,73.00 ± 0.20 mas,44.7 ± 0.1 ly (13.70 ± 0.04 pc),+3.03,1.26±0.18 M☉,3.064±0.020 R☉,5.60±0.17 L☉,3.54±0.14 cgs,"5,071±37 K",−0.19±0.05 dex,9.6–11.4 Gyr,data,0.48,0.86,Suspected,−40.3±0.09 km/s,22.28 km/s,,,,,,,,,,,,0.49,,,,,,,,,,5.08697±0.00031 d,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alshat,ν Capricorni A,https://en.wikipedia.org/wiki/Alshat,Capricornus,20h 20m 39.81562s,−12° 45′ 32.6844″,+4.76,B9 IV or B9.5 V,,,,,RA: +14.74 mas/yr Dec.: −14.32 mas/yr,12.88 ± 0.27 mas,253 ± 5 ly (78 ± 2 pc),+0.32,2.37 M☉,,87 L☉,3.97 cgs,"10,461±356 K",−0.15±0.04 dex,115 Myr,data,−0.11,−0.04,,−1.00 km/s,24 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altair,α Aquilae,https://en.wikipedia.org/wiki/Altair,Aquila,19h 50m 46.99855s,+08° 52′ 05.9563″,0.76,A7V,,,,,RA: +536.23 mas/yr Dec.: +385.29 mas/yr,194.95 ± 0.57 mas,16.73 ± 0.05 ly (5.13 ± 0.01 pc),2.22,1.86±0.03 M☉,1.57 – 2.01 R☉,10.6 L☉,4.29 cgs,"6,860 – 8,621 K",−0.2 dex,100 Myr,data,+0.09,+0.22,Delta Scuti,−26.1 ± 0.9 km/s,242 km/s,"/ˈæltɛər/, /ˈæltaɪər/",,,,,,,,,,,+0.13,,Main sequence,,,+0.14,,,,,7.77 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altais,δ Draconis,https://en.wikipedia.org/wiki/Altais,Draco,19h 12m 33.30197s,+67° 39′ 41.5456″,3.07,G9 III,,,,,RA: +95.74 mas/yr Dec.: +91.92 mas/yr,33.48 ± 0.10 mas,97.4 ± 0.3 ly (29.87 ± 0.09 pc),+0.62,2.32 M☉,11 R☉,59 L☉,2.98 cgs,"4,820 K",–0.27 dex,0.8 Gyr,data,+0.78,+1.00,,+24.8 km/s,8 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alterf,λ Leonis,https://en.wikipedia.org/wiki/Alterf,Leo,09h 31m 43.22754s,+22° 58′ 04.6904″,4.32,K4.5 III,,,,,RA: −20.17 mas/yr Dec.: −39.47 mas/yr,9.91 ± 0.18 mas,329 ± 6 ly (101 ± 2 pc),−0.70,,45 R☉,472 L☉,1.60 cgs,"3,900 K",−0.29 dex,,data,+1.82,+1.54,,24.27±0.19 km/s,8 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aludra,η Canis Majoris,https://en.wikipedia.org/wiki/Aludra,Canis Major,07h 24m 05.70228s,–29° 18′ 11.1798″,2.450,B5 Ia,,,,,RA: −4.14 mas/yr Dec.: 5.81 mas/yr,1.64 ± 0.40 mas,"approx. 2,000 ly (approx. 600 pc)",−7.0,18.19 M☉,54 R☉,"135,000 - 174,000 L☉",2.00 cgs,"15,000 - 16,000 K",,8.3 Myr,data,−0.708,−0.087,α Cyg,41.1 km/s,40 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alula Australis,ξ Ursae Majoris Aa,https://en.wikipedia.org/wiki/Alula_Australis,Ursa Major,11h 18m 10.950s,+31° 31′ 45.74″,4.729,F8.5:V / G2V,,,,,RA: −453.7 mas/yr Dec.: −591.4 mas/yr,113.2 ± 4.6 mas,29 ± 1 ly (8.8 ± 0.4 pc),5.16,0.14+0.05−0.09 M☉,0.92±0.04 R☉,0.79 L☉,4.46±0.10 cgs,"5,692±90 K",−0.35±0.08 dex,,ξ UMa,0.04,0.59,RS CVn,−18.2±2.7 km/s,3.0±1.0 km/s,/æˈluːlə ɔːˈstreɪlɪs/,1.832 yr,0.057″,0.53,94.9°,101.85 (ascending)°,1935.195,,ξ UMa Ab,ξ UMa Aa,,,,,,,,,,,,,,,,,,,5.00±0.06,,,,,,,,,,,,,,,,,,,,,,,
Alula Borealis,ν Ursae Majoris,https://en.wikipedia.org/wiki/Alula_Borealis,Ursa Major,11h 18m 28.73664s,+33° 05′ 39.5107″,+3.490,K3 III,,,,,RA: –26.84 mas/yr Dec.: +28.69 mas/yr,8.17 ± 0.17 mas,399 ± 8 ly (122 ± 3 pc),−2.47 ± 0.16,,57.07 ± 4.13 R☉,775 ± 122 L☉,1.89 cgs,"4,070 K",–0.04 dex,,data,+1.550,+1.400,,-9.63 ± 0.38 km/s,10 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alya,θ1 Serpentis A,https://en.wikipedia.org/wiki/Alya_(star),Serpens,18h 56m 13.18s,+04° 12′ 12.9″,+4.03 (4.62 + 4.98 + 6.71),A5V + A5Vn + G1V,,,,,,37.73 ± 0.51 mas,86 ± 1 ly (26.5 ± 0.4 pc),+4.60,1.097 M☉,0.9870 R☉,1.1817 L☉,,"6,067 K",−0.09 dex,200 Myr,θ Ser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alzirr,ξ Geminorum,https://en.wikipedia.org/wiki/Alzirr,Gemini,06h 45m 17.36432s,+12° 53′ 44.1311″,3.35,F5 IV-V,,,,,RA: –115.73 mas/yr Dec.: –190.55 mas/yr,55.56 ± 0.19 mas,58.7 ± 0.2 ly (18.00 ± 0.06 pc),2.14,1.706 ± 0.012 M☉,2.710 ± 0.021 R☉,11.574 ± 0.238 L☉,3.81 ± 0.02 cgs,"6,480 ± 39 K",0.00 ± 0.01 dex,1.5 Gyr,data,+0.06,+0.43,,+25.6 km/s,66.1 ± 3.3 km/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
